"",".rownames","price_3_nights","neigh_simp","number_of_reviews","reviews_per_month",".fitted",".resid",".hat",".sigma",".cooksd",".std.resid"
"1","1",480.18,"Unincorporated Areas",1623,10.71,-458.086606161742,938.266606161742,0.123372354784295,739.970020792554,0.0429874902299432,1.35377136731285
"2","2",274.82,"Unincorporated Areas",85,0.61,1073.67997257664,-798.85997257664,0.00234650769406799,740.186833419628,0.000457620943289054,-1.08045689039688
"3","3",302,"City of Santa Cruz",510,3.58,739.785029285569,-437.785029285569,0.013920202525069,740.451587044303,0.000834536402372685,-0.595568228371962
"4","4",308.04,"City of Santa Cruz",495,3.59,745.482839994725,-437.442839994725,0.0131103028871674,740.451862247749,0.00078346601340192,-0.594858471547517
"5","5",1032.84,"City of Santa Cruz",119,0.88,1140.46964866751,-107.629648667511,0.00497437226295718,740.560191440544,1.77025421381907e-05,-0.145761032282932
"6","6",283.88,"City of Santa Cruz",446,3.36,786.467159745047,-502.587159745047,0.0110791410715281,740.415289281045,0.000870377863244723,-0.682743015799041
"7","7",634.2,"Unincorporated Areas",637,4.84,472.386227620454,161.813772379546,0.0174021737034238,740.551273172102,0.000143543955098143,0.220523171212954
"8","8",540.58,"Unincorporated Areas",542,4.24,564.968844539635,-24.3888445396354,0.0125121838172914,740.566752692046,2.32142211014563e-06,-0.0331552264438314
"9","9",483.2,"Unincorporated Areas",820,6.43,257.060909958959,226.139090041041,0.0285424710606658,740.53582369039,0.000470432431817937,0.309949098129491
"10","10",398.64,"Unincorporated Areas",340,2.68,786.035099106306,-387.395099106306,0.00548735491685984,740.47741914667,0.000253251903222482,-0.524777991997204
"11","11",453,"City of Santa Cruz",483,3.83,730.281514808387,-277.281514808387,0.0121440827990691,740.520852454185,0.00029101902801971,-0.376877977940129
"12","12",2162.32,"Unincorporated Areas",242,1.93,892.703205799029,1269.61679420097,0.0034906312813852,739.605114504618,0.00172340981800567,1.71814024801262
"13","13",776.14,"City of Santa Cruz",408,3.46,794.542210494419,-18.4022104944194,0.00932665654992794,740.5669075286,9.78829521789566e-07,-0.0249764897341722
"14","14",803.32,"City of Santa Cruz",149,1.21,1099.26432546565,-295.944325465654,0.00499335653768586,740.514794433154,0.000134357740482272,-0.40079627155583
"15","15",1165.72,"City of Santa Cruz",251,2.04,984.036034924472,181.683965075528,0.0060038546587744,740.547373669914,6.10092955100698e-05,0.246178938779688
"16","16",585.88,"Unincorporated Areas",427,3.54,674.801207743791,-88.9212077437911,0.00777921436708892,740.562374477131,1.90034234133423e-05,-0.120594593617941
"17","17",437.9,"Unincorporated Areas",81,0.69,1068.61286418119,-630.712864181194,0.00223446817560977,740.330119810556,0.000271570504616811,-0.852990288255287
"18","18",329.18,"Unincorporated Areas",409,3.51,685.215744808803,-356.035744808803,0.00706368276443557,740.49123278674,0.000276234323384217,-0.482680273411652
"19","19",1848.24,"City of Santa Cruz",42,0.37,1217.52749393021,630.712506069786,0.00497448049707214,740.329467371429,0.000607916905004813,0.854163440062147
"20","20",1165.72,"Unincorporated Areas",93,0.85,1049.74595875777,115.974041242232,0.00217675684382029,740.559099488084,8.94388712565082e-06,0.156841370581882
"21","21",1993.2,"City of Capitola",143,1.56,1280.07542917005,713.124570829955,0.0074293315623894,740.262541524759,0.00116643276066692,0.966966275814271
"22","22",1476.78,"Unincorporated Areas",127,1.21,1004.23898053367,472.541019466328,0.00217639244015253,740.434098478168,0.000148460434956234,0.639056523530984
"23","23",607.02,"City of Capitola",431,3.89,955.877269559684,-348.857269559684,0.0135036686893278,740.49378623476,0.000513639507954098,-0.474489587070025
"24","24",797.28,"City of Capitola",226,2.11,1196.99095425661,-399.710954256605,0.00849675499642459,740.47133543732,0.000420009349699738,-0.542282546098246
